"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0xafec616bbf68ea49651684fa9d8852d9c19fef508c954dd1ea07f7a7601c118a","Success","Internal Tx","Handle Ops","Handle Ops","22743656","21 days ago","0xCaAA9A2A8B4d0dfD9ca5eC406ae11663CdC3Dd43"," ","0x69460570c93f9de5e2edbc3052bf10125f0ca22d"," Rango V2: Rango Diamond","0.015921","$47.12","Ethereum(ETH)","0.00037338"
"0x6a81db56539cc92756d74a9bf62248669eb09fcf70804274ed0df0724a90e915","Success","Internal Tx","Handle Ops","Handle Ops","22743641","21 days ago","0xCaAA9A2A8B4d0dfD9ca5eC406ae11663CdC3Dd43"," ","0x69460570c93f9de5e2edbc3052bf10125f0ca22d"," Rango V2: Rango Diamond","0.01","$29.60","Ethereum(ETH)","0.00032543"
"0xeea22eaa4a0dbc1f166b09c9b46e69be705235b592d22e4cea9422c1946b05b3","Success","Internal Tx","Handle Ops","Handle Ops","22743634","21 days ago","0xCaAA9A2A8B4d0dfD9ca5eC406ae11663CdC3Dd43"," ","0x69460570c93f9de5e2edbc3052bf10125f0ca22d"," Rango V2: Rango Diamond","0.001","$2.96","Ethereum(ETH)","0.00033233"
"0x21c5faf9b7eed96c485d2ce755eccc6c2dcb20bfb695561f73281b3b822cbfda","Success","Internal Tx","Handle Ops","Handle Ops","22718994","25 days ago","0x729c310186a57833f622630a16d13f710b83272a"," ","0xcaaa9a2a8b4d0dfd9ca5ec406ae11663cdc3dd43","Contract Creation","0","$0.00","Ethereum(ETH)","0.00254877"
"0x21c5faf9b7eed96c485d2ce755eccc6c2dcb20bfb695561f73281b3b822cbfda","Success","Internal Tx","Handle Ops","Handle Ops","22718994","25 days ago","0xCaAA9A2A8B4d0dfD9ca5eC406ae11663CdC3Dd43"," ","0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789"," Entry Point 0.6.0","0.007112","$21.05","Ethereum(ETH)","0.00254877"
"0x21c5faf9b7eed96c485d2ce755eccc6c2dcb20bfb695561f73281b3b822cbfda","Success","Internal Tx","Handle Ops","Handle Ops","22718994","25 days ago","0xCaAA9A2A8B4d0dfD9ca5eC406ae11663CdC3Dd43"," ","0xb99925EA17c3780e8B96B4254b911364434Be7cc"," ","0.003784","$11.20","Ethereum(ETH)","0.00254877"
